timestamp,accX,accY,accZ,filteredAccY,phase,repCount,t_diff
27.667,-0.070758,-0.027537,-0.010871,0.001036,idle,0,0.020000000000003126
27.686,0.003721,0.05682,-0.18198,0.012193,idle,0,0.01899999999999835
27.706,-0.216251,-0.003103,-0.038205,0.009134,idle,0,0.019999999999999574
27.726,-0.122772,-0.168016,-0.141452,-0.026296,idle,0,0.019999999999999574
27.746,-0.074052,-0.041829,0.046065,-0.029403,idle,0,0.019999999999999574
27.766,-0.108793,0.326501,0.139141,0.041778,idle,0,0.019999999999999574
27.786,-0.171386,-0.040841,-0.019386,0.025254,idle,0,0.020000000000003126
27.805,-0.164798,-0.062212,-0.108065,0.007761,idle,0,0.01899999999999835
27.826,-0.146396,-0.136356,-0.132112,-0.021062,idle,0,0.021000000000000796
27.845,-0.152169,-0.102712,-0.109384,-0.037392,idle,0,0.01899999999999835
27.865,-0.128351,0.140428,-0.001145,-0.001828,idle,0,0.019999999999999574
27.885,-0.12962,0.036168,0.197222,0.005771,idle,0,0.020000000000003126
27.905,-0.151613,-0.024385,0.037876,-0.00026,idle,0,0.019999999999999574
27.925,-0.055917,-0.057474,-0.180754,-0.011703,idle,0,0.019999999999999574
27.945,-0.067911,-0.016257,-0.052043,-0.012614,idle,0,0.019999999999999574
