timestamp,accX,accY,accZ,filteredAccY,phase,repCount,t_diff,energy
160.231,-0.021173,-0.105933,0.145012,-0.082652,idle,5,0.019000000000005457,0.07304544738425578
160.251,-0.035346,-0.190813,0.218238,-0.104285,idle,5,0.020000000000010232,0.07224655333377307
160.271,-0.035972,0.022198,0.138968,-0.078988,idle,5,0.01999999999998181,0.07197682219104377
160.291,-0.040178,0.158811,0.001954,-0.031428,idle,5,0.020000000000010232,0.07134884725928944
160.311,-0.007921,0.03431,0.042338,-0.01828,idle,5,0.020000000000010232,0.07020640500980253
160.331,-0.014661,-0.072807,0.220471,-0.029186,idle,5,0.01999999999998181,0.06955837669182585
160.351,0.005226,0.115887,0.123866,-0.000171,idle,5,0.020000000000010232,0.06923771401621397
160.371,-0.064339,0.295576,-0.071437,0.058978,idle,5,0.020000000000010232,0.06878045305058963
160.391,-0.05572,0.137625,-0.058229,0.074708,idle,5,0.01999999999998181,0.06816002443301732
160.411,0.036288,-0.045112,0.148617,0.050744,idle,5,0.020000000000010232,0.06772144136683104
160.43,0.077497,0.051171,0.186029,0.050829,idle,5,0.019000000000005457,0.06787810889175636
160.45,-0.020595,0.229414,0.050314,0.086546,idle,5,0.01999999999998181,0.06834329283784338
160.47,0.005101,0.188164,-0.009389,0.10687,idle,5,0.020000000000010232,0.06908147229954388
160.49,0.07171,0.032073,0.144039,0.09191,idle,5,0.020000000000010232,0.06946885755933818
160.51,0.009355,-0.048297,0.227754,0.063869,idle,5,0.01999999999998181,0.06850291006298119
160.53,-0.055369,0.003474,0.047855,0.05179,idle,5,0.020000000000010232,0.06662385654480417
160.55,-0.046709,0.10235,-0.079598,0.061902,idle,5,0.020000000000010232,0.06634096342693677
160.569,-0.066282,-0.041666,-0.030103,0.041188,idle,5,0.018999999999977035,0.06610093490622648
160.589,-0.127386,-0.150541,-0.014183,0.002843,idle,5,0.020000000000010232,0.06602523638359437
160.609,-0.201739,0.114634,0.160462,0.025201,idle,5,0.020000000000010232,0.06594631425616865
160.629,-0.124696,0.1787,0.183247,0.055901,idle,5,0.01999999999998181,0.06583850571794087
160.649,-0.04176,-0.082261,0.104805,0.028268,idle,5,0.020000000000010232,0.06573040459590472
160.669,-0.061839,-0.154405,0.054868,-0.008266,idle,5,0.020000000000010232,0.06549261615791277
160.689,-0.074911,-0.041428,0.180945,-0.014899,idle,5,0.01999999999998181,0.06522605479079148
160.708,-0.101137,0.05603,0.258628,-0.000713,idle,5,0.019000000000005457,0.06511433152588024
160.728,-0.040757,-0.141522,0.146486,-0.028875,idle,5,0.020000000000010232,0.06509429439784374
160.748,0.076249,-0.254266,0.055215,-0.073953,idle,5,0.01999999999998181,0.0656050261525155
160.768,0.015138,-0.125726,0.338012,-0.084308,idle,5,0.020000000000010232,0.0659857141335231
160.788,-0.13185,-0.136599,0.363423,-0.094766,idle,5,0.020000000000010232,0.06658611987954965
160.81,0.005137,-0.290425,0.156666,-0.133898,idle,5,0.02199999999999136,0.06789993322245434
160.828,0.068617,-0.236407,-0.072943,-0.154399,idle,5,0.018000000000000682,0.06971379550740299
160.847,0.06637,-0.228803,-0.201941,-0.16928,idle,5,0.019000000000005457,0.07180569371432798
160.867,0.035062,0.052055,-0.056842,-0.125013,idle,5,0.01999999999998181,0.07291760670249484
160.887,-0.0666,0.270012,-0.152675,-0.046008,idle,5,0.020000000000010232,0.07306603503925195
160.907,-0.023506,0.049398,-0.162251,-0.026927,idle,5,0.020000000000010232,0.0730898462669811
160.927,-0.127191,-0.221787,-0.207585,-0.065899,idle,5,0.01999999999998181,0.07338163658069871
160.947,-0.08899,-0.08908,-0.19639,-0.070535,idle,5,0.020000000000010232,0.07370988095492363
160.967,0.029369,0.134324,0.003321,-0.029563,idle,5,0.020000000000010232,0.07376108066947783
